# timestamp[ns] lat[deg] lon[deg] ele[m] lat_stddev[m] lon_stddev[m] ele_stddev[m]
1776141327754934026 36.843917600 128.092680500 293.0180 0.014000 0.014000 0.015000
1776141328258694441 36.843916300 128.092680400 293.0140 0.014000 0.014000 0.019000
1776141328755679016 36.843915100 128.092680400 293.0210 0.014000 0.014000 0.016000
1776141329257663535 36.843913900 128.092680200 293.0280 0.014000 0.014000 0.015000
1776141329743166474 36.843912600 128.092680100 293.0190 0.014000 0.014000 0.016000
1776141330262310729 36.843911400 128.092680000 293.0170 0.014000 0.014000 0.016000
1776141330747088910 36.843910200 128.092680000 293.0500 0.014000 0.014000 0.015000
1776141331263981180 36.843908900 128.092679700 293.0540 0.014000 0.014000 0.016000
1776141331754265943 36.843907500 128.092679500 293.0590 0.014000 0.014000 0.018000
1776141332266679927 36.843906100 128.092679400 293.1000 0.014000 0.014000 0.018000
1776141332745166737 36.843904500 128.092679300 293.1000 0.014000 0.014000 0.016000
1776141333260196765 36.843903000 128.092679200 293.1020 0.014000 0.014000 0.016000
1776141333751209277 36.843901400 128.092678900 293.1220 0.014000 0.014000 0.015000
1776141334254138040 36.843900000 128.092678800 293.1150 0.014000 0.014000 0.016000
1776141334753198337 36.843898600 128.092678800 293.1030 0.014000 0.014000 0.016000
1776141335257763143 36.843897400 128.092678500 293.0730 0.014000 0.014000 0.016000
1776141335749679511 36.843896000 128.092678600 293.0590 0.014000 0.014000 0.013000
1776141336258228015 36.843894600 128.092678500 293.0630 0.014000 0.014000 0.018000
1776141336742795547 36.843893100 128.092678600 293.0750 0.014000 0.014000 0.017000
1776141337246833589 36.843891900 128.092678400 293.0610 0.014000 0.014000 0.018000
1776141337748238616 36.843890500 128.092678300 293.0790 0.014000 0.014000 0.018000
1776141338262774628 36.843889100 128.092678200 293.0710 0.014000 0.014000 0.018000
1776141338746765177 36.843887700 128.092678000 293.0670 0.014000 0.014000 0.016000
1776141339256249450 36.843886400 128.092678100 293.1030 0.014000 0.014000 0.018000
1776141339747680156 36.843885000 128.092677900 293.0710 0.014000 0.014000 0.016000
1776141340258224447 36.843883500 128.092677900 293.0560 0.014000 0.014000 0.020000
1776141340750749536 36.843882000 128.092677800 293.0540 0.014000 0.014000 0.016000
1776141341261714410 36.843880600 128.092677700 293.0570 0.014000 0.014000 0.017000
1776141341740712180 36.843879200 128.092677700 293.1260 0.014000 0.014000 0.014000
1776141342264739258 36.843877800 128.092677600 293.1260 0.014000 0.014000 0.018000
1776141342753756658 36.843877000 128.092677700 293.1160 0.014000 0.014000 0.019000
