# bag: /home/avg/Data/slam_data/Woraksan_test2/rosbag2_2026_07_31-13_38_33
# topic: /gnss_2/llh_position (frame_id=gnss_2_antenna_link)
# stamp: header, unit=seconds
# mode: llh -> x=lat y=lon z=alt
# stddev: sqrt(diag(position_covariance)), meters (x_stddev=north, y_stddev=east, z_stddev=up)
# stamp x y z x_stddev y_stddev z_stddev
1785472784.759999990 36.843977000 128.092624000 293.170000000 0.014000000 0.014000000 0.023000000
1785472785.269000053 36.843977400 128.092626400 293.216000000 0.014000000 0.014000000 0.022000000
1785472785.763000011 36.843977600 128.092629100 293.175000000 0.014000000 0.014000000 0.021000000
1785472786.266999960 36.843977900 128.092631100 293.188000000 0.014000000 0.014000000 0.017000001
1785472786.757999897 36.843978000 128.092633000 293.174000000 0.014000000 0.014000000 0.017999999
1785472787.273999929 36.843978400 128.092635400 293.177000000 0.014000000 0.014000000 0.017000001
1785472787.759999990 36.843978600 128.092637000 293.157000000 0.014000000 0.014000000 0.016000001
1785472788.276999950 36.843978600 128.092638100 293.131000000 0.014000000 0.014000000 0.015000000
1785472788.766999960 36.843978700 128.092640200 293.095000000 0.014000000 0.014000000 0.015000000
1785472789.296000004 36.843978800 128.092641300 293.064000000 0.014000000 0.014000000 0.016000001
1785472789.779000044 36.843978800 128.092641400 293.064000000 0.014000000 0.014000000 0.017000001
1785472790.280999899 36.843978700 128.092641400 293.068000000 0.014000000 0.014000000 0.017000001
1785472790.766000032 36.843978800 128.092641300 293.079000000 0.014000000 0.014000000 0.016000001
1785472791.303999901 36.843978800 128.092641300 293.082000000 0.014000000 0.014000000 0.015000000
1785472791.772000074 36.843978800 128.092641300 293.073000000 0.014000000 0.014000000 0.017000001
1785472792.263000011 36.843978800 128.092641400 293.068000000 0.014000000 0.014000000 0.015000000
1785472792.763000011 36.843978700 128.092641300 293.072000000 0.014000000 0.014000000 0.015000000
1785472793.276000023 36.843978800 128.092641300 293.069000000 0.014000000 0.014000000 0.015000000
1785472793.773999929 36.843978700 128.092641300 293.088000000 0.014000000 0.014000000 0.017999999
1785472794.273000002 36.843978600 128.092641300 293.075000000 0.014000000 0.014000000 0.017999999
1785472794.765000105 36.843978600 128.092641300 293.081000000 0.014000000 0.014000000 0.017000001
1785472795.272000074 36.843978600 128.092641300 293.079000000 0.014000000 0.014000000 0.018999999
1785472795.765000105 36.843978600 128.092641200 293.069000000 0.014000000 0.014000000 0.021000000
1785472796.279999971 36.843978600 128.092641200 293.082000000 0.014000000 0.014000000 0.020000000
1785472796.762000084 36.843978600 128.092641600 293.086000000 0.014000000 0.014000000 0.018999999
1785472797.302000046 36.843978800 128.092643400 293.078000000 0.014000000 0.014000000 0.020000000
1785472797.789000034 36.843978800 128.092644800 293.048000000 0.015000000 0.015000000 0.023000000
1785472798.263000011 36.843979100 128.092646500 292.991000000 0.015000000 0.015000000 0.020000000
1785472798.757999897 36.843979200 128.092648300 292.966000000 0.016000001 0.016000001 0.021000000
1785472799.267999887 36.843979500 128.092650400 292.957000000 0.015000000 0.015000000 0.022000000
1785472799.760999918 36.843979600 128.092652600 292.942000000 0.016000001 0.016000001 0.024000000
1785472800.272000074 36.843980000 128.092654900 292.876000000 0.016000001 0.016000001 0.023000000
1785472800.760999918 36.843980200 128.092657100 292.914000000 0.017000001 0.017000001 0.028999999
1785472801.267999887 36.843980500 128.092659000 292.937000000 0.015000000 0.015000000 0.024000000
1785472801.762000084 36.843980700 128.092660900 292.892000000 0.014000000 0.014000000 0.022000000
1785472802.272000074 36.843980700 128.092662800 292.926000000 0.014000000 0.014000000 0.017999999
1785472802.763000011 36.843980800 128.092664800 292.906000000 0.014000000 0.014000000 0.017999999
