x,y,z,yaw
23.6820,-9.2668,0.0000,-1.034752
23.8337,-9.5220,0.0000,-1.034752
23.9853,-9.7773,0.0000,-1.034752
24.1370,-10.0325,0.0000,-0.964018
24.3064,-10.2767,0.0000,-1.053246
24.4581,-10.5431,0.0000,-0.916377
24.6454,-10.7872,0.0000,-0.955196
24.8416,-11.0647,0.0000,-0.971453
24.9933,-11.2866,0.0000,-1.009318
25.1538,-11.5419,0.0000,-0.964017
25.3233,-11.7860,0.0000,-0.915378
25.5195,-12.0413,0.0000,-0.893782
25.7068,-12.2743,0.0000,-0.916376
25.8942,-12.5185,0.0000,-0.980641
26.0726,-12.7848,0.0000,-0.916376
26.2599,-13.0290,0.0000,-0.893781
26.4650,-13.2843,0.0000,-0.893782
26.6613,-13.5284,0.0000,-0.893781
26.8486,-13.7615,0.0000,-0.935824
27.0448,-14.0278,0.0000,-0.870959
27.2411,-14.2609,0.0000,-0.807457
27.4641,-14.4939,0.0000,-0.893781
27.6692,-14.7492,0.0000,-0.807456
27.8922,-14.9822,0.0000,-0.848982
28.0974,-15.2153,0.0000,-0.783068
28.3204,-15.4373,0.0000,-0.870960
28.5166,-15.6703,0.0000,-0.916376
28.7039,-15.9145,0.0000,-0.799110
28.9091,-16.1253,0.0000,-0.871978
29.1142,-16.3695,0.0000,-0.871978
29.3194,-16.6136,0.0000,-0.824718
29.5245,-16.8356,0.0000,-0.768986
29.7654,-17.0687,0.0000,-0.869840
29.9527,-17.2906,0.0000,-0.868606
30.1311,-17.5015,0.0000,-0.821307
30.3273,-17.7123,0.0000,-0.777832
30.5414,-17.9232,0.0000,-0.850945
30.7555,-18.1674,0.0000,-0.794304
30.9517,-18.3671,0.0000,-0.783068
31.1747,-18.5891,0.0000,-0.844460
31.3620,-18.7999,0.0000,-0.868606
31.5404,-19.0108,0.0000,-0.893780
31.7188,-19.2328,0.0000,-0.869840
31.9061,-19.4547,0.0000,-0.850945
32.1202,-19.6989,0.0000,-0.833264
32.3521,-19.9541,0.0000,-0.841839
32.5305,-20.1539,0.0000,-0.870958
32.7268,-20.3869,0.0000,-0.814451
32.9676,-20.6422,0.0000,-0.813365
33.1460,-20.8309,0.0000,-0.794303
33.3422,-21.0306,0.0000,-0.916375
33.5295,-21.2748,0.0000,-0.893780
33.7615,-21.5633,0.0000,-0.835663
33.9220,-21.7409,0.0000,-1.028317
34.0558,-21.9629,0.0000,-1.028317
34.1896,-22.1848,0.0000,-1.188678
34.2877,-22.4290,0.0000,-1.431912
34.3234,-22.6842,0.0000,-1.497855
34.3413,-22.9284,0.0000,-1.796516
34.2877,-23.1614,0.0000,-1.934564
34.2075,-23.3723,0.0000,-2.062685
34.1004,-23.5721,0.0000,-2.105474
33.9755,-23.7829,0.0000,-1.952906
33.8774,-24.0271,0.0000,-2.027351
33.7793,-24.2268,0.0000,-1.917833
33.6990,-24.4488,0.0000,-2.040518
33.5920,-24.6597,0.0000,-2.096730
33.4760,-24.8594,0.0000,-2.129481
33.3512,-25.0592,0.0000,-2.105473
33.2263,-25.2701,0.0000,-2.247805
33.0925,-25.4365,0.0000,-2.313762
32.9498,-25.5919,0.0000,-2.305922
32.7892,-25.7695,0.0000,-2.275873
32.6287,-25.9581,0.0000,-2.277584
32.4770,-26.1357,0.0000,-2.275873
32.3165,-26.3244,0.0000,-2.485274
32.1292,-26.4686,0.0000,-2.585079
31.9151,-26.6018,0.0000,-2.513769
31.7010,-26.7572,0.0000,-2.528691
31.4959,-26.9015,0.0000,-2.620322
31.2639,-27.0346,0.0000,-2.603221
31.0409,-27.1678,0.0000,-2.585079
30.8090,-27.3121,0.0000,-2.617757
30.5593,-27.4564,0.0000,-2.599677
30.2828,-27.6228,0.0000,-2.613601
29.9973,-27.7893,0.0000,-2.685862
29.7030,-27.9336,0.0000,-2.668137
29.3997,-28.0890,0.0000,-2.679800
29.0875,-28.2443,0.0000,-2.787301
28.7575,-28.3664,0.0000,-2.748447
28.4364,-28.4996,0.0000,-2.808830
28.1153,-28.6106,0.0000,-2.840028
27.7941,-28.7105,0.0000,-2.831944
27.4819,-28.8103,0.0000,-2.910409
27.1519,-28.8880,0.0000,-2.871840
26.8308,-28.9768,0.0000,-2.916287
26.4918,-29.0545,0.0000,-2.979319
26.1529,-29.1100,0.0000,-3.107042
25.8318,-29.1211,0.0000,-3.141589
25.4928,-29.1211,0.0000,-3.082411
25.1182,-29.1433,0.0000,-3.141590
24.7525,-29.1433,0.0000,3.014672
24.4046,-29.0989,0.0000,3.014672
24.0567,-29.0545,0.0000,3.080977
23.6910,-29.0323,0.0000,3.014672
23.3432,-28.9879,0.0000,3.011369
23.0042,-28.9435,0.0000,2.878801
22.6742,-28.8547,0.0000,2.778299
22.3531,-28.7327,0.0000,2.800043
22.0409,-28.6217,0.0000,2.787307
21.7108,-28.4996,0.0000,2.817205
21.3808,-28.3886,0.0000,2.817205
21.0508,-28.2777,0.0000,2.655924
20.7564,-28.1223,0.0000,2.768843
20.4442,-28.0002,0.0000,2.738386
20.1320,-27.8670,0.0000,2.748454
19.8109,-27.7339,0.0000,2.804095
19.4630,-27.6118,0.0000,2.598792
19.1687,-27.4342,0.0000,2.598002
18.8565,-27.2455,0.0000,2.624451
18.5443,-27.0680,0.0000,2.626896
18.2499,-26.9015,0.0000,2.613607
17.9645,-26.7350,0.0000,2.545340
17.6701,-26.5353,0.0000,2.540019
17.4115,-26.3577,0.0000,2.557540
17.1260,-26.1690,0.0000,2.495501
16.8317,-25.9471,0.0000,2.457676
16.5730,-25.7362,0.0000,2.390765
16.3233,-25.5032,0.0000,2.379794
16.0557,-25.2479,0.0000,2.466951
15.8059,-25.0482,0.0000,2.334136
15.5829,-24.8151,0.0000,2.449144
15.3153,-24.5931,0.0000,2.287193
15.0834,-24.3268,0.0000,2.372606
14.8426,-24.0937,0.0000,2.330490
14.6106,-23.8496,0.0000,2.287193
14.3787,-23.5832,0.0000,2.313768
14.1647,-23.3502,0.0000,2.247810
13.9417,-23.0727,0.0000,2.247810
13.7365,-22.8175,0.0000,2.186396
13.5403,-22.5400,0.0000,2.227129
13.3351,-22.2737,0.0000,2.229460
13.1032,-21.9740,0.0000,2.180783
12.9248,-21.7188,0.0000,2.209099
12.7107,-21.4302,0.0000,2.156919
12.5412,-21.1750,0.0000,2.247810
12.3183,-20.8975,0.0000,2.177575
12.1488,-20.6534,0.0000,2.225215
11.9615,-20.4092,0.0000,2.101858
11.7920,-20.1206,0.0000,2.039276
11.6403,-19.8210,0.0000,2.124532
11.4619,-19.5325,0.0000,2.183712
11.2746,-19.2661,0.0000,2.137473
11.1052,-18.9998,0.0000,2.247810
10.9000,-18.7445,0.0000,2.030119
10.7573,-18.4560,0.0000,2.038599
10.5610,-18.0675,0.0000,1.995395
10.4005,-17.7124,0.0000,2.507626
10.2043,-17.5681,0.0000,2.085530
10.0348,-17.2685,0.0000,2.041643
9.8653,-16.9355,0.0000,2.225215
9.6780,-16.6914,0.0000,1.988181
9.5353,-16.3695,0.0000,2.199537
9.3658,-16.1365,0.0000,2.101858
9.1963,-15.8479,0.0000,2.070094
9.0268,-15.5372,0.0000,2.220084
8.8752,-15.3374,0.0000,2.101857
8.7057,-15.0489,0.0000,2.007438
8.5452,-14.7048,0.0000,2.107795
8.3668,-14.4052,0.0000,2.101857
8.1973,-14.1166,0.0000,2.085530
8.0278,-13.8170,0.0000,2.070093
7.8583,-13.5063,0.0000,2.227128
7.6532,-13.2399,0.0000,2.154315
7.4480,-12.9292,0.0000,2.091950
7.2696,-12.6184,0.0000,2.124531
7.0912,-12.3299,0.0000,2.137472
6.9218,-12.0635,0.0000,2.132272
6.7612,-11.8083,0.0000,2.203876
6.5739,-11.5530,0.0000,2.095397
6.4133,-11.2756,0.0000,2.156918
6.2439,-11.0203,0.0000,2.088344
6.0922,-10.7540,0.0000,2.113271
5.9584,-10.5320,0.0000,2.085529
5.7889,-10.2323,0.0000,2.142225
5.6462,-10.0104,0.0000,2.070977
5.4946,-9.7329,0.0000,2.078563
